('名次', '选手', '战队', '位置', '出场次数', 'KDA', '参团率', '场均击杀', '单场最高击杀', '场均死亡', '单场最高死亡', '场均助攻', '单场最高助攻', 'GPM', 'CSPM', '每分钟输出', '输出占比', '每分钟承受伤害', '承受伤害占比', '每分钟插眼数', '每分钟排眼数')
['7', 'Cris', 'CST', '上单', '16', '4.7', '65.8%', '3.7', '10', '3.0', '8', '10.4', '24', '348', '6.39', '468', '22.4%', '599', '23.9%', '0.30', '0.13']
['8', 'Impaler', 'CST', '打野', '16', '5.8', '71.1%', '5.1', '12', '2.6', '7', '10.1', '21', '314', '3.07', '326', '15.6%', '657', '26.2%', '0.52', '0.25']
['9', 'Sheep', 'CST', '辅助', '16', '5.4', '76.0%', '1.4', '5', '3.0', '12', '14.8', '24', '256', '0.61', '117', '5.6%', '438', '17.5%', '1.18', '0.18']
['10', 'Jesiz', 'CST', '中单', '16', '6.2', '67.5%', '4.2', '11', '2.3', '6', '10.2', '19', '367', '7.22', '566', '27.1%', '368', '14.7%', '0.35', '0.13']
['11', 'pr0lly', 'CLB', '中单', '2', '1.2', '78.3%', '1.5', '2', '7.5', '9', '7.5', '10', '312', '6.76', '546', '26.9%', '525', '18.1%', '0.28', '0.20']
['12', 'ROBERTxLEE', 'CLB', 'ADC', '2', '1.8', '78.3%', '7.0', '8', '5.0', '6', '2.0', '2', '359', '7.57', '688', '33.9%', '649', '22.4%', '0.11', '0.11']
['13', 'i KeNNy u', 'CLB', '上单', '2', '2.8', '60.9%', '1.0', '1', '2.5', '3', '6.0', '7', '291', '6.29', '385', '19.0%', '685', '23.6%', '0.24', '0.14']
['14', 'Bubbadub', 'CLB', '辅助', '2', '2.0', '60.9%', '0.0', '0', '3.5', '6', '7.0', '9', '204', '0.51', '76', '3.8%', '361', '12.4%', '1.48', '0.35']
['15', 'CloudNguyen', 'CLB', '打野', '2', '1.6', '69.6%', '2.0', '3', '5.0', '6', '6.0', '7', '266', '3.66', '335', '16.5%', '682', '23.5%', '0.38', '0.19']
['16', 'Saintvicious', 'CA', '打野', '9', '3.8', '73.8%', '4.3', '9', '4.3', '10', '12.2', '20', '325', '3.66', '326', '16.3%', '752', '27.4%', '0.63', '0.21']
['17', 'Cop', 'CA', 'ADC', '9', '6.9', '64.9%', '6.1', '12', '2.1', '6', '8.4', '14', '424', '9.00', '638', '32.0%', '394', '14.4%', '0.09', '0.14']
['18', 'Otter', 'CA', 'ADC', '1', '1.7', '66.7%', '5.0', '5', '6.0', '6', '5.0', '5', '346', '6.45', '472', '26.5%', '459', '15.8%', '0.22', '0.09']
